Ordinal Position, Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
1, French Guiana, +353, +3, 1123.599082022733, 9.549000697077052, 0, 314_169
2, Hong Kong, +24895, +62, 3273.806040504194, 8.153282768076322, 0, 7_604_299
3, Latvia, +363, +7, 196.33964486863903, 3.7861639506349127, 20.022062879205738, 1_848_837
4, Japan, +192063, +420, 1529.3486304453409, 3.3443527633487093, 0, 125_584_838
5, Croatia, +642, +13, 158.15589244019762, 3.2025336475429422, 21.747967479674795, 4_059_286
6, Paraguay, +6681, +22, 914.4735248211603, 3.011288361931676, 0, 7_305_843
7, Chile, +6125, +51, 318.178595073972, 2.6493238120445013, 23.630401234567902, 19_250_195
8, Germany, +32729, +188, 390.1716373723416, 2.2412010090745276, 0, 83_883_596
9, France, +24436, +132, 372.58793302407133, 2.01267012437295, 0, 65_584_518
10, Colombia, +6776, +103, 131.54021910143354, 1.999504511134542, 0, 51_512_762
11, Taiwan, +27950, +36, 1170.0143938980086, 1.5069952837326765, 79.81153626499143, 23_888_595
12, S. Korea, +71427, +76, 1391.528161783447, 1.4806185377454182, 0, 51_329_899
13, Slovenia, +1636, +3, 787.2825949912274, 1.4436722402039621, 190.89848308051342, 2_078_034
14, Lithuania, +443, +3, 166.4344849247175, 1.1270958347046334, 18.723584108199493, 2_661_708
15, Bulgaria, +286, +7, 41.784782946315175, 1.022704477707015, 8.113475177304965, 6_844_597
16, Peru, +3162, +32, 93.87188204039114, 0.9500000712500053, 13.349658025838048, 33_684_208
17, Honduras, +2230, +8, 218.17298809039642, 0.7826833653467136, 31.2587608634707, 10_221_247
18, Israel, +1151, +7, 123.41840017156336, 0.7505897490885696, 0, 9_326_000
19, Slovakia, +118, +4, 21.610957707905197, 0.7325748375561083, 17.74436090225564, 5_460_193
20, USA, +32197, +239, 96.16634796748076, 0.7138477859498681, 9.400035034450543, 334_805_269
21, Australia, +8608, +16, 330.20325606188425, 0.6137606989997849, 0, 26_068_792
22, Brazil, +27269, +130, 126.62430944442148, 0.6036583749963252, 0, 215_353_593
23, Poland, +601, +22, 15.924838999480258, 0.5829391979843022, 8.347222222222223, 37_739_785
24, Czechia, +588, +5, 54.765002257659276, 0.465688794707987, 0, 10_736_784
25, Russia, +6146, +56, 42.15191579257052, 0.38407212567262433, 0, 145_805_947
26, Serbia, +1064, +3, 122.96290680613556, 0.3466999252052695, 11.19882117671824, 8_653_016
27, Mexico, +5968, +28, 45.36237652396074, 0.21282616331616971, 22.682528220136064, 131_562_772
28, Philippines, +514, +23, 4.568523650651431, 0.20442810109918857, 4.863279402024789, 112_508_994
29, Malaysia, +679, +6, 20.463473874502906, 0.1808259841635014, 2.8570226373811325, 33_181_072
30, Lebanon, +101, +1, 15.108793033320573, 0.14959201023089674, 0, 6_684_849
31, Austria, +4675, +1, 515.6225356275871, 0.11029359050857478, 7.159264931087289, 9_066_710
32, Bolivia, +3145, +1, 262.2438265551851, 0.08338436456444678, 0, 11_992_656
33, Iran, +51, +5, 0.5928658223629616, 0.0581241002316629, 0, 86_022_837
34, Guatemala, +2308, +1, 124.1925934399944, 0.053809615875214205, 18.493589743589745, 18_584_039
35, Kazakhstan, +263, +1, 13.694319767990105, 0.05206965691250991, 0, 19_205_043
36, Venezuela, +169, +1, 5.774423479338891, 0.03416818626827746, 0, 29_266_991
37, Indonesia, +685, +9, 2.454014060354165, 0.03224252050100363, 0, 279_134_505
38, Saudi Arabia, +27, +1, 0.753245042413136, 0.02789796453381985, 0.7003891050583658, 35_844_909
39, Afghanistan, +35, +1, 0.8588032287468038, 0.02453723510705154, 10.263929618768328, 40_754_388
40, India, +329, +1, 0.23389205733398702, 0.0007109181073981369, 0.08846131094822997, 1_406_631_776
41, China, +5102, +1, 3.522333958406082, 0.0006903829789114235, 0, 1_448_471_400                                
42, Italy, None, None, 0, 0, 0, 60_262_770
43, UK, None, None, 0, 0, 0, 68_497_907
44, Turkey, None, None, 0, 0, 0, 85_561_976
45, Spain, None, None, 0, 0, 0, 46_719_142
46, Vietnam, +234, None, 2.3647460983735793, 0, 0, 98_953_541
47, Argentina, None, None, 0, 0, 0, 46_010_234
48, Netherlands, None, None, 0, 0, 0, 17_211_447
49, Portugal, None, None, 0, 0, 0, 10_140_570
50, Greece, None, None, 0, 0, 0, 10_316_637
51, Ukraine, None, None, 0, 0, 0, 43_192_122
52, Thailand, None, None, 0, 0, 0, 70_078_203
53, Belgium, None, None, 0, 0, 0, 11_668_278
54, Canada, None, None, 0, 0, 0, 38_388_419
55, Switzerland, None, None, 0, 0, 0, 8_773_637
56, South Africa, None, None, 0, 0, 0, 60_756_135
57, Romania, None, None, 0, 0, 0, 19_031_335
58, Denmark, None, None, 0, 0, 0, 5_834_950
59, Sweden, None, None, 0, 0, 0, 10_218_971
60, Iraq, None, None, 0, 0, 0, 42_164_965
61, Singapore, +1116, None, 187.76669685066793, 0, 0, 5_943_546
62, Hungary, None, None, 0, 0, 0, 9_606_259
63, New Zealand, None, None, 0, 0, 0, 4_898_203
64, Bangladesh, None, None, 0, 0, 0, 167_885_689
65, Georgia, None, None, 0, 0, 0, 3_968_738
66, Jordan, None, None, 0, 0, 0, 10_300_869
67, Ireland, None, None, 0, 0, 0, 5_020_199
68, Pakistan, +12, None, 0.05229008934519971, 0, 0, 229_488_994
69, Norway, +215, None, 39.01026423557119, 0, 0, 5_511_370
70, Finland, None, None, 0, 0, 0, 5_554_960
71, Morocco, +53, None, 1.403127693409504, 0, 1.1846222619579794, 37_772_756
72, Costa Rica, None, None, 0, 0, 0, 5_182_354
73, Tunisia, None, None, 0, 0, 0, 12_046_656
74, Cuba, +24, None, 2.1228320135804637, 0, 1.9591836734693877, 11_305_652
75, UAE, +74, None, 7.339970054905952, 0, 0.3950248225057385, 10_081_785
76, Ecuador, None, None, 0, 0, 0, 18_113_361
77, Panama, None, None, 0, 0, 0, 4_446_964
78, Uruguay, None, None, 0, 0, 0, 3_496_016
79, Mongolia, None, None, 0, 0, 0, 3_378_078
80, Nepal, +16, None, 0.5293529170091746, 0, 0, 30_225_582
81, Belarus, None, None, 0, 0, 0, 9_432_800
82, Azerbaijan, +84, None, 8.155177494040167, 0, 4.400209533787323, 10_300_205
83, Bahrain, +69, None, 38.67749860845086, 0, 3.5348360655737703, 1_783_983
84, Sri Lanka, +4, None, 0.1853925330005661, 0, 0, 21_575_842
85, Kuwait, None, None, 0, 0, 0, 4_380_326
86, Dominican Republic, None, None, 0, 0, 0, 11_056_370
87, Myanmar, +8, None, 0.14485630734148244, 0, 0.19337684312303602, 55_227_143
88, Cyprus, None, None, 0, 0, 0, 1_223_387
89, Palestine, None, None, 0, 0, 0, 5_345_541
90, Estonia, None, None, 0, 0, 0, 1_321_910
91, Moldova, None, None, 0, 0, 0, 4_013_171
92, Egypt, None, None, 0, 0, 0, 106_156_692
93, Libya, None, None, 0, 0, 0, 7_040_745
94, Ethiopia, +169, None, 1.3988595801411539, 0, 7.945463093559003, 120_812_698
95, Qatar, +195, None, 65.43810813395685, 0, 0, 2_979_915
96, Réunion, None, None, 0, 0, 0, 908_061
97, Armenia, None, None, 0, 0, 0, 2_971_966
98, Bosnia and Herzegovina, +19, None, 5.847382696117369, 0, 15.833333333333332, 3_249_317
99, Oman, None, None, 0, 0, 0, 5_323_993
100, North Macedonia, None, None, 0, 0, 0, 2_081_304
101, Kenya, +3, None, 0.053366329379012846, 0, 0.8955223880597015, 56_215_221
102, Zambia, +98, None, 5.033324201445139, 0, 7.722616233254531, 19_470_234
103, Albania, None, None, 0, 0, 0, 2_866_374
104, Botswana, None, None, 0, 0, 0, 2_441_162
105, Luxembourg, None, None, 0, 0, 0, 642_371
106, Montenegro, +34, None, 54.14443825145314, 0, 6.938775510204081, 627_950
107, Algeria, +9, None, 0.1984558021729058, 0, 0, 45_350_148
108, Nigeria, None, None, 0, 0, 0, 216_746_934
109, Brunei , None, None, 0, 0, 0, 445_431
110, Zimbabwe, None, None, 0, 0, 0, 15_331_428
111, Uzbekistan, None, None, 0, 0, 0, 34_382_084
112, Mozambique, None, None, 0, 0, 0, 33_089_461
113, Martinique, None, None, 0, 0, 0, 374_087
114, Laos, +25, None, 3.341788950521874, 0, 0, 7_481_023
115, Iceland, None, None, 0, 0, 0, 345_393
116, Kyrgyzstan, None, None, 0, 0, 0, 6_728_271
117, El Salvador, None, None, 0, 0, 0, 6_550_389
118, Guadeloupe, None, None, 0, 0, 0, 399_794
119, Trinidad and Tobago, None, None, 0, 0, 0, 1_406_585
120, Maldives, None, None, 0, 0, 0, 540_985
121, Ghana, None, None, 0, 0, 0, 32_395_450
122, Namibia, None, None, 0, 0, 0, 2_633_874
123, Uganda, None, None, 0, 0, 0, 48_432_863
124, Jamaica, None, None, 0, 0, 0, 2_985_094
125, Cambodia, +13, None, 0.757194556889454, 0, 0, 17_168_639
126, Rwanda, None, None, 0, 0, 0, 13_600_464
127, Cameroon, None, None, 0, 0, 0, 27_911_548
128, Malta, +17, None, 38.28544274862454, 0, 5.841924398625429, 444_033
129, Angola, None, None, 0, 0, 0, 35_027_343
130, Barbados, None, None, 0, 0, 0, 288_023
131, Channel Islands, +509, None, 2884.4573650000284, 0, 0, 176_463
132, DRC, None, None, 0, 0, 0, 95_240_792
133, Senegal, None, None, 0, 0, 0, 17_653_671
134, Malawi, None, None, 0, 0, 0, 20_180_839
135, Ivory Coast, +2, None, 0.07209208119673431, 0, 0.5681818181818182, 27_742_298
136, Suriname, None, None, 0, 0, 0, 596_831
137, New Caledonia, +415, None, 1426.5335235378031, 0, 0, 290_915
138, French Polynesia, None, None, 0, 0, 0, 284_164
139, Eswatini, None, None, 0, 0, 0, 1_184_817
140, Guyana, None, None, 0, 0, 0, 794_045
141, Belize, None, None, 0, 0, 0, 412_190
142, Fiji, None, None, 0, 0, 0, 909_466
143, Madagascar, None, None, 0, 0, 0, 29_178_077
144, Sudan, None, None, 0, 0, 0, 45_992_020
145, Mauritania, None, None, 0, 0, 0, 4_901_981
146, Cabo Verde, None, None, 0, 0, 0, 567_678
147, Syria, None, None, 0, 0, 0, 19_364_809
148, Seychelles, None, None, 0, 0, 0, 99_426
149, Gabon, +6, None, 2.5734141442561613, 0, 0.8968609865470852, 2_331_533
150, Andorra, None, None, 0, 0, 0, 77_463
151, Papua New Guinea, None, None, 0, 0, 0, 9_292_169
152, Curaçao, None, None, 0, 0, 0, 165_529
153, Aruba, None, None, 0, 0, 0, 107_609
154, Tanzania, None, None, 0, 0, 0, 63_298_550
155, Mayotte, None, None, 0, 0, 0, 286_259
156, Mauritius, None, None, 0, 0, 0, 1_274_727
157, Togo, +2, None, 0.2303925301212314, 0, 0.6779661016949152, 8_680_837
158, Guinea, None, None, 0, 0, 0, 13_865_691
159, Bahamas, None, None, 0, 0, 0, 400_516
160, Lesotho, None, None, 0, 0, 0, 2_175_699
161, Haiti, None, None, 0, 0, 0, 11_680_283
162, Mali, None, None, 0, 0, 0, 21_473_764
163, Saint Lucia, None, None, 0, 0, 0, 185_113
164, Somalia, None, None, 0, 0, 0, 16_841_795
165, Congo, None, None, 0, 0, 0, 5_797_805
166, Burkina Faso, None, None, 0, 0, 0, 22_102_838
167, Grenada, None, None, 0, 0, 0, 113_475
168, Nicaragua, None, None, 0, 0, 0, 6_779_100
169, Equatorial Guinea, None, None, 0, 0, 0, 1_496_662
170, Djibouti, None, None, 0, 0, 0, 1_016_097
171, Gambia, None, None, 0, 0, 0, 2_558_482
172, Yemen, None, None, 0, 0, 0, 31_154_867
173, Niger, None, None, 0, 0, 0, 26_083_660
174, Guinea-Bissau, None, None, 0, 0, 0, 2_063_367
175, Liberia, None, None, 0, 0, 0, 5_305_117
176, Chad, None, None, 0, 0, 0, 17_413_580
