Ordinal Position, Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
1, Trinidad and Tobago, +226, +4, 160.36204925669352, 2.8382663585255488, 30.62330623306233, 1_409_311
2, Japan, +135425, +347, 1077.9024474446644, 2.7619135998766735, 47.952311483768625, 125_637_529
3, Croatia, +728, +11, 179.7342697949647, 2.7157650655832573, 27.37871380218127, 4_050_424
4, New Zealand, +1703, +11, 340.4570080566162, 2.1990763879170747, 56.07507408626935, 5_002_100 
5, Peru, +2522, +69, 74.24679103426134, 2.03133567857416, 2.9992745608714784, 33_967_798
6, Taiwan, +32794, +42, 1371.5481425986818, 1.756571994546095, 65.5971836057048, 23_910_207
7, Montenegro, +191, +1, 304.0249077578879, 1.5917534437585756, 21.43658810325477, 628_238
8, Australia, +8663, +39, 331.38996688280776, 1.4918860335252804, 0, 26_141_407
9, S. Korea, +79623, +74, 1550.146790177159, 1.4406749616707453, 0, 51_364_813
10, Chile, +5238, +28, 269.00207164462927, 1.4379644914184078, 10.206746039478555, 19_471_969
11, Serbia, +2654, +11, 306.4269531947261, 1.2700438904076816, 27.62568960133236, 8_661_118
12, Honduras, +587, +10, 57.289526137541124, 0.9759714844555559, 14.638403990024937, 10_246_201
13, Hong Kong, +10426, +7, 1366.6543930807911, 0.9175696097799287, 0, 7_628_849
14, Guatemala, +306, +15, 16.421394006770768, 0.8049702944495474, 0, 18_634_228
15, Italy, +17660, +48, 293.0188215977636, 0.7964271481705919, 11.583973972135492, 60_269_166
16, Romania, +1825, +15, 96.25682269677861, 0.7911519673707832, 14.281242663745209, 18_959_695
17, Azerbaijan, +437, +8, 42.27401299369662, 0.7738949747129817, 13.694766530868066, 10_337_320
18, Palestine, +593, +4, 110.66350140438142, 0.7464654394899252, 0, 5_358_587
19, Lebanon, +694, +5, 102.6745233882652, 0.7397299955926887, 0, 6_759_223
20, Russia, +51699, +92, 353.932851957088, 0.6298346656618522, 0, 146_070_080
21, Poland, +3275, +23, 86.73937907423472, 0.6091620515137094, 30.696410160277438, 37_756_784
22, Slovenia, +1305, +1, 627.5374995732263, 0.48087164718254893, 183.02945301542778, 2_079_557
23, Philippines, +2812, +52, 24.941542151871463, 0.46122339683403846, 12.796941840356785, 112_743_630
24, Lithuania, +753, +1, 285.221546688646, 0.3787802744869137, 0, 2_640_053
25, Brazil, +10080, +80, 46.702305931451846, 0.37065322167818926, 0, 215_835_167
26, Slovakia, +325, +2, 59.465291755933215, 0.36594025695958904, 26.252019386106625, 5_465_373
27, Iran, +532, +30, 6.162823559241903, 0.34752764431815236, 0, 86_324_068
28, Bolivia, +548, +4, 45.59717277559226, 0.33282607865395814, 0, 12_018_289
29, Austria, +3953, +3, 433.5475187493125, 0.3290267028201208, 6.966989196143746, 9_117_801
30, Thailand, +1942, +23, 27.67185393285084, 0.32773050486898525, 0, 70_179_613
31, Czechia, +1849, +3, 171.9673342049817, 0.27901676723361013, 23.5721570627231, 10_752_042
32, Mexico, +4347, +36, 32.964313753018814, 0.2729963871885617, 36.68664022280361, 131_869_877
33, Malaysia, +2244, +9, 67.45792650026021, 0.2705531811507763, 9.075467119631158, 33_265_179
34, USA, +22765, +74, 67.9013387969617, 0.22072036331979641, 31.37403528114664, 335_265_849
35, Sri Lanka, +50, +4, 2.313971393667484, 0.18511771149339873, 0, 21_607_873
36, Saudi Arabia, +66, +3, 1.8338658166494843, 0.0833575371204311, 1.3494172970762626, 35_989_547
