Ordinal Position, Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
1, Trinidad and Tobago, +114, +3, 81.04735938460882, 2.1328252469633897, 23.651452282157674, 1_406_585
2, Japan, +89911, +197, 715.9383364415377, 1.5686607009040374, 81.33282676146797, 125_584_838
3, Serbia, +2190, +13, 253.0909453998467, 1.5023663425561677, 27.965777039969353, 8_653_016
4, Hong Kong, +9033, +11, 1187.8806974844097, 1.44655016852967, 0, 7_604_299
5, Chile, +4006, +27, 208.10178805980925, 1.4025831946117948, 8.734329009048295, 19_250_195
6, Slovakia, +150, +7, 27.471556408354065, 1.2820059657231897, 26.455026455026452, 5_460_193
7, Croatia, +441, +5, 108.63979527434135, 1.2317437105934392, 18.268434134217067, 4_059_286
8, New Zealand, +971, +6, 198.23596531217675, 1.2249390235561899, 0, 4_898_203
9, Taiwan, +32100, +29, 1343.7374613283032, 1.2139684230068783, 76.79242123394178, 23_888_595
10, Peru, +813, +39, 24.13593931019545, 1.1578125868359441, 4.014220115538439, 33_684_208
11, S. Korea, +28214, +47, 549.6601503151214, 0.9156456746583507, 0, 51_329_899
12, Israel, +687, +8, 73.66502251769246, 0.8578168561012224, 0, 9_326_000
13, Guatemala, +70, +15, 3.7666731112649945, 0.8071442381282132, 0.5558643690939411, 18_584_039
14, Russia, +52829, +86, 362.324041556412, 0.5898250501401017, 0, 145_805_947
15, Italy, +12315, +34, 204.3550271585591, 0.5641957712863183, 11.335186480615588, 60_262_770
16, Slovenia, +628, +1, 302.20872228269604, 0.48122408006798734, 167.46666666666667, 2_078_034
17, Lithuania, +123, +1, 46.210929222889966, 0.3756986115682111, 0, 2_661_708
18, Albania, +88, +1, 30.700808756987048, 0.34887282678394377, 0, 2_866_374
19, Jamaica, +89, +1, 29.814806501905803, 0.33499782586411014, 9.118852459016393, 2_985_094
20, Austria, +3420, +3, 377.20407953932573, 0.3308807715257243, 7.329461434602773, 9_066_710
21, Czechia, +458, +3, 42.65709359525162, 0.2794132768247922, 19.74137931034483, 10_736_784
22, Iran, +696, +24, 8.090874752247476, 0.2789956811119819, 0, 86_022_837
23, Thailand, +1093, +19, 15.59686112385045, 0.27112567369913865, 0, 70_078_203
24, Romania, +906, +4, 47.60569870689576, 0.21017968524015787, 11.855535200209369, 19_031_335
25, Azerbaijan, +266, +2, 25.824728731127195, 0.19417089271524207, 9.252173913043478, 10_300_205
26, Mexico, +2369, +23, 18.00661360342879, 0.17482149129542512, 23.96802913800081, 131_562_772
27, Argentina, +1134, +8, 24.646690560191455, 0.17387436021299088, 0, 46_010_234
28, Lebanon, +171, +1, 25.580233749483348, 0.14959201023089674, 0, 6_684_849
29, Philippines, +2230, +16, 19.82063762831263, 0.14221085293856597, 12.471338292041832, 112_508_994
30, Malaysia, +1483, +3, 44.694155752412094, 0.0904129920817507, 4.315688385763758, 33_181_072
31, Venezuela, +52, +2, 1.7767456859504278, 0.06833637253655492, 0, 29_266_991
32, Nepal, +89, +2, 2.9445256008635337, 0.06616911462614683, 5.590452261306533, 30_225_582
33, Kazakhstan, +180, +1, 9.372538244251784, 0.05206965691250991, 0, 19_205_043
34, Indonesia, +1939, +13, 6.9464719168273374, 0.046572529612560795, 4.491441013643418, 279_134_505
35, Sri Lanka, +36, +1, 1.668532797005095, 0.046348133250141525, 0, 21_575_842
36, Brazil, +2285, +8, 10.610456822050795, 0.03714820769208155, 0, 215_353_593
37, Vietnam, +1643, +3, 16.603751451400814, 0.030317257671456144, 0, 98_953_541
38, Saudi Arabia, +109, +1, 3.040878134186364, 0.02789796453381985, 4.421906693711968, 35_844_909
39, USA, +8837, +9, 26.394447215225874, 0.026881297378865323, 7.535151820049968, 334_805_269
40, Bangladesh, +310, +2, 1.846494491856301, 0.011912867689395491, 8.874892642427712, 167_885_689
41, India, +5221, +15, 3.7117034387256727, 0.010663771610972053, 0.748381326158658, 1_406_631_776
42, China, +234, None, 0.16154961706527307, 0, 0, 1_448_471_400 
43, France, +16422, None, 250.3944604731257, 0, 0, 65_584_518
44, Germany, None, None, 0, 0, 0, 83_883_596
45, UK, None, None, 0, 0, 0, 68_497_907
46, Turkey, None, None, 0, 0, 0, 85_561_976
47, Spain, None, None, 0, 0, 0, 46_719_142
48, Australia, +1364, None, 52.323099589731655, 0, 0, 26_068_792
49, Netherlands, None, None, 0, 0, 0, 17_211_447
50, Colombia, None, None, 0, 0, 0, 51_512_762
51, Poland, +648, None, 17.170209104264902, 0, 19.115044247787612, 37_739_785
52, Portugal, None, None, 0, 0, 0, 10_140_570
53, Ukraine, None, None, 0, 0, 0, 43_192_122
54, Greece, None, None, 0, 0, 0, 10_316_637
55, DPRK, None, None, 0, 0, 0, 25_990_679
56, Belgium, None, None, 0, 0, 0, 11_668_278
57, Canada, None, None, 0, 0, 0, 38_388_419
58, Switzerland, None, None, 0, 0, 0, 8_773_637
59, South Africa, +128, None, 2.106783125687636, 0, 0, 60_756_135
60, Denmark, None, None, 0, 0, 0, 5_834_950
61, Sweden, None, None, 0, 0, 0, 10_218_971
62, Iraq, None, None, 0, 0, 0, 42_164_965
63, Hungary, None, None, 0, 0, 0, 9_606_259
64, Singapore, +1440, None, 242.27960883957152, 0, 0, 5_943_546
65, Jordan, None, None, 0, 0, 0, 10_300_869
66, Georgia, None, None, 0, 0, 0, 3_968_738
67, Ireland, None, None, 0, 0, 0, 5_020_199
68, Pakistan, +139, None, 0.6056935349152299, 0, 0, 229_488_994
69, Norway, +25, None, 4.536077236694324, 0, 0, 5_511_370
70, Finland, None, None, 0, 0, 0, 5_554_960
71, Morocco, +11, None, 0.2912151816510291, 0, 0.3073484213467449, 37_772_756
72, Bulgaria, +165, None, 24.106605545951062, 0, 14.261019878997407, 6_844_597
73, Tunisia, None, None, 0, 0, 0, 12_046_656
74, Cuba, +36, None, 3.184248020370696, 0, 0, 11_305_652
75, Bolivia, +223, None, 18.594713297871632, 0, 0, 11_992_656
76, Costa Rica, None, None, 0, 0, 0, 5_182_354
77, UAE, +400, None, 39.67551381030244, 0, 0.1834180877747259, 10_081_785
78, Ecuador, None, None, 0, 0, 0, 18_113_361
79, Belarus, None, None, 0, 0, 0, 9_432_800
80, Panama, None, None, 0, 0, 0, 4_446_964
81, Uruguay, None, None, 0, 0, 0, 3_496_016
82, Mongolia, None, None, 0, 0, 0, 3_378_078
83, Latvia, None, None, 0, 0, 0, 1_848_837
84, Paraguay, None, None, 0, 0, 0, 7_305_843
85, Bahrain, +303, None, 169.8446678023277, 0, 8.195834460373277, 1_783_983
86, Kuwait, None, None, 0, 0, 0, 4_380_326
87, Dominican Republic, None, None, 0, 0, 0, 11_056_370
88, Palestine, None, None, 0, 0, 0, 5_345_541
89, Myanmar, +189, None, 3.4222302609425226, 0, 2.015355086372361, 55_227_143
90, Estonia, None, None, 0, 0, 0, 1_321_910
91, Cyprus, None, None, 0, 0, 0, 1_223_387
92, Moldova, None, None, 0, 0, 0, 4_013_171
93, Egypt, None, None, 0, 0, 0, 106_156_692
94, Libya, None, None, 0, 0, 0, 7_040_745
95, Ethiopia, None, None, 0, 0, 0, 120_812_698
96, Réunion, None, None, 0, 0, 0, 908_061
97, Honduras, None, None, 0, 0, 0, 10_221_247
98, Armenia, None, None, 0, 0, 0, 2_971_966
99, Qatar, +698, None, 234.23486911539422, 0, 24.0855762594893, 2_979_915
100, Oman, None, None, 0, 0, 0, 5_323_993
101, Bosnia and Herzegovina, None, None, 0, 0, 0, 3_249_317
102, North Macedonia, None, None, 0, 0, 0, 2_081_304
103, Kenya, +5, None, 0.08894388229835475, 0, -1.436808074539534e-05, 56_215_221
104, Zambia, +9, None, 0.46224405931639034, 0, 1.1508951406649617, 19_470_234
105, Botswana, None, None, 0, 0, 0, 2_441_162
106, Luxembourg, None, None, 0, 0, 0, 642_371
107, Montenegro, +150, None, 238.8725216975874, 0, 16.62971175166297, 627_950
108, Algeria, +7, None, 0.15435451280114898, 0, 0, 45_350_148
109, Nigeria, +151, None, 0.6966649871965432, 0, 0, 216_746_934
110, Zimbabwe, None, None, 0, 0, 0, 15_331_428
111, Uzbekistan, None, None, 0, 0, 0, 34_382_084
112, Mozambique, +1, None, 0.030221102725124474, 0, 0, 33_089_461
113, Brunei , None, None, 0, 0, 0, 445_431
114, Martinique, None, None, 0, 0, 0, 374_087
115, Laos, +51, None, 6.817249459064622, 0, 0, 7_481_023
116, Kyrgyzstan, None, None, 0, 0, 0, 6_728_271
117, Iceland, None, None, 0, 0, 0, 345_393
118, El Salvador, None, None, 0, 0, 0, 6_550_389
119, Afghanistan, +244, None, 5.987085366120575, 0, 15.77246283128636, 40_754_388
120, Guadeloupe, None, None, 0, 0, 0, 399_794
121, Maldives, None, None, 0, 0, 0, 540_985
122, Uganda, None, None, 0, 0, 0, 48_432_863
123, Namibia, None, None, 0, 0, 0, 2_633_874
124, Ghana, None, None, 0, 0, 0, 32_395_450
125, Cambodia, +5, None, 0.29122867572671307, 0, 0, 17_168_639
126, Rwanda, None, None, 0, 0, 0, 13_600_464
127, Cameroon, None, None, 0, 0, 0, 27_911_548
128, Malta, +14, None, 31.529188145926096, 0, 1.48619957537155, 444_033
129, Angola, None, None, 0, 0, 0, 35_027_343
130, Barbados, None, None, 0, 0, 0, 288_023
131, French Guiana, None, None, 0, 0, 0, 314_169
132, DRC, None, None, 0, 0, 0, 95_240_792
133, Channel Islands, None, None, 0, 0, 0, 176_463
134, Senegal, None, None, 0, 0, 0, 17_653_671
135, Malawi, None, None, 0, 0, 0, 20_180_839
136, Ivory Coast, None, None, 0, 0, 0, 27_742_298
137, Suriname, None, None, 0, 0, 0, 596_831
138, French Polynesia, None, None, 0, 0, 0, 284_164
139, New Caledonia, None, None, 0, 0, 0, 290_915
140, Eswatini, +6, None, 5.064073185985683, 0, 1.2448132780082988, 1_184_817
141, Guyana, +5, None, 6.29687234350698, 0, 2.3696682464454977, 794_045
142, Belize, None, None, 0, 0, 0, 412_190
143, Fiji, None, None, 0, 0, 0, 909_466
144, Madagascar, +12, None, 0.411267678812418, 0, 0, 29_178_077
145, Sudan, None, None, 0, 0, 0, 45_992_020
146, Mauritania, None, None, 0, 0, 0, 4_901_981
147, Cabo Verde, +3, None, 5.284686036802554, 0, 0, 567_678
148, Bhutan, None, None, 0, 0, 0, 787_941
149, Syria, +22, None, 1.136081435143512, 0, 0, 19_364_809
150, Burundi, None, None, 0, 0, 0, 12_624_840
151, Gabon, None, None, 0, 0, 0, 2_331_533
152, Seychelles, None, None, 0, 0, 0, 99_426
153, Andorra, None, None, 0, 0, 0, 77_463
154, Curaçao, None, None, 0, 0, 0, 165_529
155, Papua New Guinea, None, None, 0, 0, 0, 9_292_169
156, Aruba, None, None, 0, 0, 0, 107_609
157, Mauritius, None, None, 0, 0, 0, 1_274_727
158, Mayotte, None, None, 0, 0, 0, 286_259
159, Tanzania, None, None, 0, 0, 0, 63_298_550
160, Togo, +25, None, 2.879906626515392, 0, 8.389261744966444, 8_680_837
161, Isle of Man, None, None, 0, 0, 0, 85_732
162, Guinea, None, None, 0, 0, 0, 13_865_691
163, Bahamas, +21, None, 52.43236225269403, 0, 0, 400_516
164, Faeroe Islands, None, None, 0, 0, 0, 49_233
165, Lesotho, None, None, 0, 0, 0, 2_175_699
166, Haiti, None, None, 0, 0, 0, 11_680_283
167, Mali, +43, None, 2.00244353994018, 0, 4.714912280701754, 21_473_764
168, Cayman Islands, None, None, 0, 0, 0, 67_277
169, Saint Lucia, None, None, 0, 0, 0, 185_113
170, Benin, None, None, 0, 0, 0, 12_784_726
171, Somalia, None, None, 0, 0, 0, 16_841_795
172, Congo, None, None, 0, 0, 0, 5_797_805
173, Timor-Leste, None, None, 0, 0, 0, 1_369_429
174, Solomon Islands, None, None, 0, 0, 0, 721_159
175, Burkina Faso, None, None, 0, 0, 0, 22_102_838
176, San Marino, None, None, 0, 0, 0, 34_085
177, Gibraltar, None, None, 0, 0, 0, 33_704
178, Grenada, None, None, 0, 0, 0, 113_475
179, Liechtenstein, None, None, 0, 0, 0, 38_387
180, Nicaragua, None, None, 0, 0, 0, 6_779_100
181, Bermuda, None, None, 0, 0, 0, 61_939
182, South Sudan, None, None, 0, 0, 0, 11_618_511
183, Tajikistan, None, None, 0, 0, 0, 9_957_464
184, Equatorial Guinea, None, None, 0, 0, 0, 1_496_662
